task,appMode,selectedId,botChoice,recommendationShown,savedAt
0,practice,2,2,False,1617929430116
0,movies,12,12,True,1617929804801
1,movies,6,6,False,1617929816547
2,movies,37,45,False,1617929831581
3,movies,48,20,False,1617929859707
4,movies,15,15,True,1617929885115
5,movies,40,47,False,1617929901231
0,hiring,28,8,False,1617929965997
1,hiring,4,1,False,1617929985408
2,hiring,12,9,False,1617930004239
3,hiring,18,13,False,1617930019633
4,hiring,48,48,True,1617930040587
5,hiring,45,45,True,1617930056089
